Product_name,Rating,Discount%,Reviews Count,Discounted_Price(₹),Original_Price(₹)
PU Leather 9 Slot Vertical Credit Debit Card Holder Money Wallet Zipper Coin Purse for Men Women (Tan),4.1,60,299,399,1000
Unisex Aviator Sunglasses Black Frame Black Lens ( Free Size ),3.1,87,1158,335,2499
Men's Boss-ace Uniform Dress Shoe,3.8,18,926,655,799
Men's Leather Belt,4.2,58,5390,749,1800
Brand - A Digital Watch with Square LED Shockproof Multi-Functional Automatic 5 Color Army Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys - Watch for Men,3.7,82,1698,358,1999
Men's Slim Fit Casual Shirt,4,74,12971,549,2099
"Lenskart Blu | Zero Power Blue Cut Computer Glasses | Anti Glare, Lightweight & Blocks Harmful Rays | UV Protection Specs | Men & Women | Large | LB E13740/LB E14244",3.9,83,641,599,3500
Genuine Leather Men Wallet||ATM Card Case||Money Purse||Card Holder with Zip Closure (Tan-HJ),4,53,2241,474,999
Men's Slim Fit Track pants,3.7,52,4521,475,999
"Touch Screen Running Gloves for Men & Women - Thermal Winter Glove Liners for Texting, Cycling & Driving - Thin, Lightweight & Warm Sports / Athletic Hand Gloves - Touchscreen Smartphone Compatible",4.3,61,3422,507,1299
3 Color Army Shockproof Waterproof Digital Sports Watch for Mens Kids Sports Watch for Boys - Military Army Watch for Men,4,85,2027,283,1899
Pendant for Men and Boys | Silver Pendants For Men | Silver Tone White Crystal Studded Pendent with Chain | Vin diesel Smart Cross Shaped Pendant Chain for Men | Accessories Jewellery for Men | Birthday Gift for Men and Boys Anniversary Gift for Husband,3.7,73,933,267,999
Men's Jewellery Fusion Ring Pendant with Ball Chain For Boys and Men PD1000873,3.3,90,11,97,999
Giftorious Men's Leather Customized Wallet with Coin Pouch (Navy Blue),4.2,75,612,499,1999
"NEOSAFE Spark A5005 PVC Labour Safety Shoes (8, Black)",2.8,26,6285,369,499
Men's Artificial Leather Belt,3.9,59,3486,498,1200
Inferring: Grades 3-4 / Ages 8-9 (Spotlight on Reading),4.8,12,35,431,492
Premium Black Satin Bow tie for Men,4.4,83,878,299,1796
Men Pilot Sunglasses,4,20,4422,639,799
Men's Poly Cotton Digital Printed Stitched Half Sleeve Shirt,3.4,71,1731,349,1199
Men's Regular Fit Trackpants,4,43,12648,569,999
Mens Sx0500g Running Shoe,4,15,3614,934,1099
Precious Moments BIS Hallmarked Silver Coin with Gift Box 999 Pure,4.4,40,146,600,1000
Unisex Genuine Leather Wallet with Zipper | RFID Blocking Card Holder Zipper Wallet (Brown),4.3,81,104,339,1800
"Ankle length Cotton Socks for Men and Women , Pack of 5 Multicoloured Socks - Free Size",4.1,54,4481,299,645
Brown Leather Men's Leather Wallet(WH2010),4.1,80,5491,299,1499
Inferring: Grades 1-2 / Ages 6-7 (Spotlight on Reading),4.8,79,15,"1,504",7152
"Blue, Black & Silver Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",3.7,86,688,349,2499
"Omtex Athletic Neo Cotton Stretchable Supporter Back Covered with Cup Pocket, Ideal for Workout and Sports Quick Dry Moisture Wicking Underwear Black - Medium",4.1,17,3863,270,325
Men and Women Slim Leather Wallet Card Case/Card Holder with 24 Card Slots (Black),3.9,38,4059,185,299
Pendant for Men and Boys | Pendants for Men | Silver Tone Pendent with Chain | Stainless Steel Round Shaped Pendant Chain for Men| Accessories Jewellery for Men | Birthday Gift for Men and Boys Anniversary Gift for Husband,4.1,84,956,483,2995
mens Alfred Slipper,3.9,15,572,339,399
Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,4,86,793,284,1999
"| Zero Power Blue Cut Computer Glasses | Anti Glare, Lightweight & Blocks Harmful Rays | UV Protection Specs | Men & Women | Medium | LB E13526",3.9,83,1069,600,3500
Black Leather Men's Wallet (tnw90),3.9,75,1967,249,999
Crystu Natural Pyrite Rough Stone | Pyrite Stone Original | Pyrite Raw Stone | Pyrite Raw Cluster from Peru | Weight 50 Carats Approx,3.8,39,32,275,449
Chain for Men and Boys | Silver Chain Men Neck Chain for Men | Stainless Steel Army Dog Tag Chain Pendant Necklace Chains for Men | Accessories Jewellery for Men | Birthday Gift for Men and Boys Anniversary Gift for Husband,4.2,69,379,359,1162
"Mens Boss-Slick Formal Shoes, (8516051), Black",4,13,922,874,999
Digital unisex Watch (Black Dial Black Colored Strap),3.7,72,432,166,599
Mens Vertigo Running Shoes,4,71,16196,721,2499
Themes Brown RFID Blocking Leather Wallet for Men | Wallets Men Leather,4.2,80,12002,499,2499
